hour,activity,gender
0,29.292376822875454,male
1,52.83437419447802,male
2,48.44158242565935,male
3,42.87698250940476,male
4,40.2520859260989,male
5,41.991545896282055,male
6,41.53170056358974,male
7,40.87400853750915,male
8,35.48565346452381,male
9,28.488649873708788,male
10,23.447637094990846,male
11,19.183403025494506,male
12,13.555294434377288,male
13,10.48259771912088,male
14,14.66990595838828,male
15,9.690425081410256,male
16,11.330430309203297,male
17,12.094584546520148,male
18,10.564039106126375,male
19,14.0800284432326,male
20,13.047971352765568,male
21,13.416847818827838,male
22,15.755494067069598,male
23,16.877830920448716,male
0,30.959380128844316,female
1,45.31379024789926,female
2,44.77794804812639,female
3,42.02880982989011,female
4,37.70187118177473,female
5,35.92995700389194,female
6,38.11515308368682,female
7,35.907687240857136,female
8,31.79163060469963,female
9,26.40458734886996,female
10,21.49942864950549,female
11,15.377957875465203,female
12,9.44361947966392,female
13,11.375091575091576,female
14,11.416803992802198,female
15,8.886777421846155,female
16,7.732012753844322,female
17,7.881620903371796,female
18,10.395245982527472,female
19,10.284396637862635,female
20,9.922888239163003,female
21,11.058062749067764,female
22,13.143646143688644,female
23,17.504874463432234,female
